time,Mag1_X,Mag1_Y,Mag1_Z,Mag1_Len,Mag1_CarLen,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,Mag2_Len,Mag2_CarLen,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,Mag3_Len,Mag3_CarLen,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,Mag4_Len,Mag4_CarLen,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
18:46.2,173,-23,-203,267.7069293,94.19965303,177.5537484,-105.0928688,-157.0261063,2,193,22,-298,355.7203958,109.2814746,198.2572531,-73.89149844,-245.85,2,294,29,-252,388.3052923,99.94907155,303.1036266,-53.85149219,-196.8404938,2,312,-46,-154,350.9643857,99.85465709,318.6414984,-135.4215156,-110.0610016,2
18:46.6,173,-7,-207,269.864781,110.1832001,177.5537484,-105.0928688,-157.0261063,2,193,7,-297,354.2696713,95.85090365,198.2572531,-73.89149844,-245.85,2,294,28,-249,386.2913408,97.48413657,303.1036266,-53.85149219,-196.8404938,2,312,-31,-158,351.0968527,115.091746,318.6414984,-135.4215156,-110.0610016,2
18:47.0,173,-20,-204,268.2256513,97.30405763,177.5537484,-105.0928688,-157.0261063,2,193,9,-297,354.3148318,97.54466528,198.2572531,-73.89149844,-245.85,2,295,40,-255,391.9821425,110.7081728,303.1036266,-53.85149219,-196.8404938,2,311,-39,-153,348.7850341,105.8265504,318.6414984,-135.4215156,-110.0610016,2
18:47.5,172,-17,-209,271.2084069,102.4328232,177.5537484,-105.0928688,-157.0261063,2,192,12,-299,355.5404337,101.199927,198.2572531,-73.89149844,-245.85,2,293,22,-250,385.7888023,93.17438082,303.1036266,-53.85149219,-196.8404938,2,312,-34,-153,349.1546935,110.3367161,318.6414984,-135.4215156,-110.0610016,2
18:47.9,171,-26,-201,265.1754136,90.73222601,177.5537484,-105.0928688,-157.0261063,2,192,-15,-282,341.4864565,69.38432319,198.2572531,-73.89149844,-245.85,2,287,-86,-190,354.7745763,36.60117072,303.1036266,-53.85149219,-196.8404938,2,299,-169,-108,360.0361093,38.9557544,318.6414984,-135.4215156,-110.0610016,2
18:48.3,162,-139,-148,259.7479548,38.38076646,177.5537484,-105.0928688,-157.0261063,2,182,-105,-239,318.229477,35.76254533,198.2572531,-73.89149844,-245.85,2,286,-85,-188,352.6542216,36.61854599,303.1036266,-53.85149219,-196.8404938,2,299,-169,-107,359.7374042,39.02144032,318.6414984,-135.4215156,-110.0610016,2
18:48.7,162,-138,-146,258.0775077,38.03121608,177.5537484,-105.0928688,-157.0261063,2,182,-106,-241,320.0640561,36.31496457,198.2572531,-73.89149844,-245.85,2,286,-85,-192,354.8027621,35.8635464,303.1036266,-53.85149219,-196.8404938,2,299,-167,-106,358.5052301,37.40963606,318.6414984,-135.4215156,-110.0610016,2
18:49.1,161,-140,-148,259.6632435,39.67373178,177.5537484,-105.0928688,-157.0261063,2,183,-105,-241,320.3045426,34.98635652,198.2572531,-73.89149844,-245.85,2,285,-85,-191,353.4557964,36.49770131,303.1036266,-53.85149219,-196.8404938,2,299,-169,-107,359.7374042,39.02144032,318.6414984,-135.4215156,-110.0610016,2
18:49.6,162,-138,-150,260.3612874,37.06972547,177.5537484,-105.0928688,-157.0261063,2,182,-106,-240,319.3117599,36.46198914,198.2572531,-73.89149844,-245.85,2,285,-85,-191,353.4557964,36.49770131,303.1036266,-53.85149219,-196.8404938,2,299,-170,-106,359.9124894,39.974389,318.6414984,-135.4215156,-110.0610016,2
18:50.0,161,-139,-147,258.5556033,39.04155406,177.5537484,-105.0928688,-157.0261063,2,183,-107,-238,318.7193122,37.29046994,198.2572531,-73.89149844,-245.85,2,286,-85,-191,354.2626145,36.01215,303.1036266,-53.85149219,-196.8404938,2,299,-169,-107,359.7374042,39.02144032,318.6414984,-135.4215156,-110.0610016,2
