time,Mag1_X,Mag1_Y,Mag1_Z,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
17:02.9,184,-132,-173,186.6684955,-87.61845769,-162.0308754,1,201,-99,-263,204.4682008,-64.12390747,-252.8892754,1,304,-82,-230,312.5465885,-46.89344189,-221.8768715,1,312,-170,-140,319.6054649,-128.570203,-132.1851378,1
17:05.9,142,-99,-166,186.6684955,-87.61845769,-162.0308754,1,162,-74,-260,204.4682008,-64.12390747,-252.8892754,1,268,-54,-235,312.5465885,-46.89344189,-221.8768715,1,271,-137,-141,319.6054649,-128.570203,-132.1851378,1
17:08.8,129,-105,-190,186.6684955,-87.61845769,-162.0308754,1,144,-78,-291,204.4682008,-64.12390747,-252.8892754,1,252,-66,-270,312.5465885,-46.89344189,-221.8768715,1,261,-142,-177,319.6054649,-128.570203,-132.1851378,1
17:11.7,126,-107,-189,186.6684955,-87.61845769,-162.0308754,1,147,-74,-287,204.4682008,-64.12390747,-252.8892754,1,250,-59,-261,312.5465885,-46.89344189,-221.8768715,1,257,-143,-165,319.6054649,-128.570203,-132.1851378,1
17:14.6,126,-100,-192,186.6684955,-87.61845769,-162.0308754,1,146,-75,-287,204.4682008,-64.12390747,-252.8892754,1,253,-59,-262,312.5465885,-46.89344189,-221.8768715,1,259,-137,-167,319.6054649,-128.570203,-132.1851378,1
17:17.6,129,-103,-189,186.6684955,-87.61845769,-162.0308754,1,147,-70,-286,204.4682008,-64.12390747,-252.8892754,1,253,-60,-258,312.5465885,-46.89344189,-221.8768715,1,260,-142,-167,319.6054649,-128.570203,-132.1851378,1
17:20.5,125,-101,-191,186.6684955,-87.61845769,-162.0308754,1,147,-76,-285,204.4682008,-64.12390747,-252.8892754,1,253,-57,-263,312.5465885,-46.89344189,-221.8768715,1,257,-136,-166,319.6054649,-128.570203,-132.1851378,1
17:23.4,128,-101,-189,186.6684955,-87.61845769,-162.0308754,1,145,-71,-285,204.4682008,-64.12390747,-252.8892754,1,251,-60,-260,312.5465885,-46.89344189,-221.8768715,1,258,-139,-167,319.6054649,-128.570203,-132.1851378,1
17:26.3,124,-101,-190,186.6684955,-87.61845769,-162.0308754,1,146,-74,-284,204.4682008,-64.12390747,-252.8892754,1,253,-54,-254,312.5465885,-46.89344189,-221.8768715,1,257,-137,-160,319.6054649,-128.570203,-132.1851378,1
17:29.3,128,-98,-179,186.6684955,-87.61845769,-162.0308754,1,145,-70,-279,204.4682008,-64.12390747,-252.8892754,1,252,-59,-252,312.5465885,-46.89344189,-221.8768715,1,259,-137,-160,319.6054649,-128.570203,-132.1851378,1
17:32.2,125,-106,-174,186.6684955,-87.61845769,-162.0308754,1,146,-80,-267,204.4682008,-64.12390747,-252.8892754,1,251,-60,-244,312.5465885,-46.89344189,-221.8768715,1,254,-145,-155,319.6054649,-128.570203,-132.1851378,1
17:35.1,128,-107,-177,186.6684955,-87.61845769,-162.0308754,1,144,-77,-272,204.4682008,-64.12390747,-252.8892754,1,250,-66,-247,312.5465885,-46.89344189,-221.8768715,1,259,-146,-155,319.6054649,-128.570203,-132.1851378,1
17:38.0,128,-98,-186,186.6684955,-87.61845769,-162.0308754,1,148,-75,-281,204.4682008,-64.12390747,-252.8892754,1,256,-59,-252,312.5465885,-46.89344189,-221.8768715,1,260,-136,-159,319.6054649,-128.570203,-132.1851378,1
17:41.0,130,-103,-185,186.6684955,-87.61845769,-162.0308754,1,149,-72,-281,204.4682008,-64.12390747,-252.8892754,1,252,-56,-258,312.5465885,-46.89344189,-221.8768715,1,261,-141,-164,319.6054649,-128.570203,-132.1851378,1
17:43.9,129,-98,-183,186.6684955,-87.61845769,-162.0308754,1,146,-74,-279,204.4682008,-64.12390747,-252.8892754,1,256,-59,-254,312.5465885,-46.89344189,-221.8768715,1,261,-135,-159,319.6054649,-128.570203,-132.1851378,1
17:46.8,131,-102,-187,186.6684955,-87.61845769,-162.0308754,1,149,-70,-279,204.4682008,-64.12390747,-252.8892754,1,253,-56,-255,312.5465885,-46.89344189,-221.8768715,1,261,-142,-163,319.6054649,-128.570203,-132.1851378,1
17:49.7,127,-99,-186,186.6684955,-87.61845769,-162.0308754,1,147,-75,-279,204.4682008,-64.12390747,-252.8892754,1,256,-58,-254,312.5465885,-46.89344189,-221.8768715,1,260,-136,-161,319.6054649,-128.570203,-132.1851378,1
17:52.7,131,-102,-183,186.6684955,-87.61845769,-162.0308754,1,148,-70,-278,204.4682008,-64.12390747,-252.8892754,1,254,-58,-254,312.5465885,-46.89344189,-221.8768715,1,263,-140,-161,319.6054649,-128.570203,-132.1851378,1
17:55.6,129,-101,-183,186.6684955,-87.61845769,-162.0308754,1,149,-74,-279,204.4682008,-64.12390747,-252.8892754,1,256,-56,-251,312.5465885,-46.89344189,-221.8768715,1,259,-137,-161,319.6054649,-128.570203,-132.1851378,1
17:58.5,130,-98,-184,186.6684955,-87.61845769,-162.0308754,1,146,-74,-281,204.4682008,-64.12390747,-252.8892754,1,256,-60,-252,312.5465885,-46.89344189,-221.8768715,1,262,-136,-160,319.6054649,-128.570203,-132.1851378,1
18:01.4,131,-103,-182,186.6684955,-87.61845769,-162.0308754,1,149,-70,-278,204.4682008,-64.12390747,-252.8892754,1,253,-57,-257,312.5465885,-46.89344189,-221.8768715,1,261,-141,-161,319.6054649,-128.570203,-132.1851378,1
18:04.9,131,-99,-180,186.6684955,-87.61845769,-162.0308754,1,146,-71,-281,204.4682008,-64.12390747,-252.8892754,1,254,-61,-252,312.5465885,-46.89344189,-221.8768715,1,262,-136,-159,319.6054649,-128.570203,-132.1851378,1
18:08.0,129,-99,-183,186.6684955,-87.61845769,-162.0308754,1,147,-73,-280,204.4682008,-64.12390747,-252.8892754,1,257,-57,-251,312.5465885,-46.89344189,-221.8768715,1,260,-134,-163,319.6054649,-128.570203,-132.1851378,1
18:10.9,131,-101,-185,186.6684955,-87.61845769,-162.0308754,1,147,-70,-279,204.4682008,-64.12390747,-252.8892754,1,254,-59,-252,312.5465885,-46.89344189,-221.8768715,1,262,-140,-161,319.6054649,-128.570203,-132.1851378,1
18:13.9,128,-101,-182,186.6684955,-87.61845769,-162.0308754,1,149,-76,-280,204.4682008,-64.12390747,-252.8892754,1,256,-54,-254,312.5465885,-46.89344189,-221.8768715,1,260,-138,-160,319.6054649,-128.570203,-132.1851378,1
18:16.8,130,-98,-183,186.6684955,-87.61845769,-162.0308754,1,147,-73,-281,204.4682008,-64.12390747,-252.8892754,1,255,-60,-254,312.5465885,-46.89344189,-221.8768715,1,262,-136,-162,319.6054649,-128.570203,-132.1851378,1
18:20.7,131,-101,-182,186.6684955,-87.61845769,-162.0308754,1,148,-69,-279,204.4682008,-64.12390747,-252.8892754,1,254,-59,-251,312.5465885,-46.89344189,-221.8768715,1,262,-141,-159,319.6054649,-128.570203,-132.1851378,1
18:23.6,128,-99,-186,186.6684955,-87.61845769,-162.0308754,1,148,-75,-281,204.4682008,-64.12390747,-252.8892754,1,256,-57,-254,312.5465885,-46.89344189,-221.8768715,1,259,-136,-163,319.6054649,-128.570203,-132.1851378,1
18:26.5,130,-103,-183,186.6684955,-87.61845769,-162.0308754,1,149,-71,-277,204.4682008,-64.12390747,-252.8892754,1,254,-58,-253,312.5465885,-46.89344189,-221.8768715,1,260,-139,-163,319.6054649,-128.570203,-132.1851378,1
18:29.5,131,-101,-184,186.6684955,-87.61845769,-162.0308754,1,148,-70,-281,204.4682008,-64.12390747,-252.8892754,1,255,-61,-254,312.5465885,-46.89344189,-221.8768715,1,263,-139,-159,319.6054649,-128.570203,-132.1851378,1
18:32.4,128,-98,-187,186.6684955,-87.61845769,-162.0308754,1,148,-74,-279,204.4682008,-64.12390747,-252.8892754,1,257,-57,-252,312.5465885,-46.89344189,-221.8768715,1,260,-136,-160,319.6054649,-128.570203,-132.1851378,1
18:35.3,131,-103,-180,186.6684955,-87.61845769,-162.0308754,1,150,-71,-279,204.4682008,-64.12390747,-252.8892754,1,254,-54,-255,312.5465885,-46.89344189,-221.8768715,1,260,-140,-164,319.6054649,-128.570203,-132.1851378,1
18:38.2,131,-98,-184,186.6684955,-87.61845769,-162.0308754,1,147,-72,-280,204.4682008,-64.12390747,-252.8892754,1,255,-60,-257,312.5465885,-46.89344189,-221.8768715,1,262,-137,-164,319.6054649,-128.570203,-132.1851378,1
18:41.2,128,-98,-181,186.6684955,-87.61845769,-162.0308754,1,146,-75,-279,204.4682008,-64.12390747,-252.8892754,1,256,-59,-254,312.5465885,-46.89344189,-221.8768715,1,261,-136,-158,319.6054649,-128.570203,-132.1851378,1
