time,Mag1_X,Mag1_Y,Mag1_Z,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
30:50.0,186,-86,-163,189.0800683,-89.42125804,-162.0987827,0,207,-65,-248,207.217805,-66.32155115,-253.4411932,0,314,-45,-222,313.9209501,-47.89621245,-223.1388215,0,318,-125,-134,322.0360053,-131.0289712,-134.7887708,0
30:52.9,189,-84,-162,189.0760649,-89.15019514,-162.0938436,0,203,-63,-252,207.0069148,-66.15547359,-253.3691336,0,313,-51,-222,313.8749026,-48.05140183,-223.0818805,0,321,-125,-135,321.984205,-130.7275227,-134.7993323,0
30:55.8,188,-90,-160,189.0222616,-89.19268538,-161.9891514,0,207,-61,-253,207.006569,-65.89769991,-253.3506769,0,311,-45,-223,313.7311575,-47.89883174,-223.0777864,0,320,-129,-134,321.8849948,-130.6411465,-134.7593657,0
30:58.8,186,-84,-161,188.8711486,-88.93305111,-161.9396939,0,205,-66,-251,206.9062406,-65.90281491,-253.233143,0,315,-47,-220,313.7945996,-47.85389015,-222.9238971,0,318,-125,-133,321.690745,-130.3590892,-134.6713974,0
31:01.7,189,-88,-161,188.8775911,-88.88639856,-161.8927092,0,204,-61,-250,206.7609285,-65.65767417,-253.0714859,0,311,-50,-222,313.6548696,-47.96119565,-222.8777023,0,322,-129,-130,321.7062078,-130.2911347,-134.4378275,0
31:04.6,186,-86,-162,188.7337116,-88.74207863,-161.8980737,0,206,-66,-249,206.7228821,-65.67479046,-252.8679116,0,314,-46,-223,313.6721261,-47.86313586,-222.8838171,0,318,-125,-132,321.5208974,-130.026578,-134.3159361,0
31:07.6,189,-86,-160,188.747026,-88.6049747,-161.80317,0,204,-62,-252,206.586738,-65.49105094,-252.824516,0,312,-50,-220,313.5885198,-47.96997907,-222.7396263,0,321,-128,-135,321.4948525,-129.9252491,-134.3501393,0
31:10.5,188,-89,-156,188.7096747,-88.62472596,-161.5130115,0,206,-63,-250,206.5574011,-65.36649839,-252.6832902,0,311,-43,-224,313.4590938,-47.72148012,-222.802645,0,319,-130,-132,321.3701099,-129.9289866,-134.2326324,0
31:13.4,188,-84,-162,188.674191,-88.39348967,-161.5373609,0,204,-64,-249,206.4295311,-65.29817347,-252.4991257,0,315,-49,-219,313.5361392,-47.78540611,-222.6125127,0,320,-125,-133,321.3016044,-129.6825373,-134.1710008,0
31:16.3,188,-90,-158,188.6404814,-88.47381518,-161.3604929,0,207,-62,-254,206.4580545,-65.1332648,-252.5741694,0,311,-44,-222,313.4093322,-47.59613581,-222.5818871,0,319,-132,-131,321.1865242,-129.7984104,-134.0124507,0
31:19.3,186,-86,-159,188.5084573,-88.35012442,-161.2424682,0,206,-66,-253,206.4351518,-65.17660156,-252.5954609,0,313,-44,-222,313.3888656,-47.41632902,-222.5527927,0,318,-128,-133,321.027198,-129.7084899,-133.9618282,0
31:22.2,188,-85,-160,188.4830345,-88.1826182,-161.1803448,0,203,-61,-253,206.2633942,-64.96777148,-252.6156879,0,312,-49,-220,313.3194223,-47.49551256,-222.4251531,0,321,-127,-134,321.0258381,-129.5730654,-133.9637368,0
31:25.1,186,-89,-161,188.3588828,-88.22348729,-161.1713276,0,207,-65,-249,206.3002245,-64.96938291,-252.4349035,0,312,-43,-224,313.2534512,-47.27073694,-222.5038954,0,318,-128,-132,320.8745462,-129.4944122,-133.8655499,0
31:28.0,186,-84,-160,188.2409386,-88.01231293,-161.1127612,0,203,-64,-251,206.1352133,-64.92091376,-252.3631583,0,316,-49,-218,313.3907786,-47.35720009,-222.2787007,0,319,-124,-135,320.7808189,-129.2196916,-133.9222724,0
31:31.0,189,-88,-160,188.2788917,-88.01169728,-161.0571232,0,205,-60,-251,206.0784526,-64.67486807,-252.2950004,0,311,-48,-221,313.2712397,-47.38934008,-222.2147656,0,321,-129,-136,320.7917779,-129.208707,-134.0261588,0
31:33.9,187,-89,-158,188.2149471,-88.06111242,-160.904267,0,207,-62,-255,206.12453,-64.54112467,-252.4302504,0,310,-44,-224,313.1076777,-47.21987308,-222.3040274,0,319,-129,-134,320.702189,-129.1982716,-134.0248509,0
31:36.8,186,-86,-161,188.1041997,-87.9580568,-160.9090536,0,205,-67,-250,206.0683035,-64.66406844,-252.3087379,0,312,-46,-225,313.0522938,-47.15887943,-222.438826,0,318,-127,-134,320.5670796,-129.088358,-134.0236083,0
31:39.7,187,-83,-160,188.0489898,-87.71015396,-160.863601,0,203,-65,-247,205.9148883,-64.68086501,-252.043301,0,313,-48,-223,313.0496791,-47.20093546,-222.4668847,0,319,-125,-134,320.4887256,-128.8839401,-134.0224279,0
31:42.7,189,-86,-162,188.0965403,-87.62464626,-160.9204209,0,204,-61,-253,205.8191439,-64.49682176,-252.0911359,0,310,-50,-222,312.8971952,-47.34088868,-222.4435405,0,321,-128,-132,320.5142893,-128.8397431,-133.9213065,0
31:45.6,188,-89,-162,188.0917133,-87.69341395,-160.9743999,0,206,-63,-250,205.8281867,-64.42198067,-251.9865791,0,311,-44,-223,312.8023354,-47.17384425,-222.4713634,0,320,-131,-133,320.4885749,-128.947756,-133.8752412,0
