,Backward,Brand,Category,Class,Class_Target,Forward,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
79,0.0,toyota,clotplus,0.0,0,1,12:47.6,6.473020933072901,-2.200000000000003,-4.099999999999994,-4.5,50.2,-195.9,-145.5,254.566297847928,48,-200,-150
80,0.0,toyota,clotplus,0.0,0,1,12:48.0,5.128352561983228,3.799999999999997,-3.0999999999999943,1.5,50.2,-195.9,-145.5,251.501491049258,54,-199,-144
81,0.0,toyota,clotplus,0.0,0,1,12:48.5,6.65582451691749,3.799999999999997,-3.0999999999999943,4.5,50.2,-195.9,-145.5,249.79591670001332,54,-199,-141
82,0.0,toyota,clotplus,0.0,0,1,12:48.9,5.57673739743947,-2.200000000000003,-5.099999999999994,-0.5,50.2,-195.9,-145.5,253.02371430362015,48,-201,-146
83,0.0,toyota,clotplus,0.0,0,1,12:49.3,5.44977063737548,0.7999999999999972,-4.099999999999994,-3.5,50.2,-195.9,-145.5,254.56236956785267,51,-200,-149
84,0.0,toyota,clotplus,0.0,0,1,12:49.7,10.63484837691633,5.799999999999997,-6.099999999999994,6.5,50.2,-195.9,-145.5,251.51739502467817,56,-202,-139
85,0.0,toyota,clotplus,0.0,0,1,12:50.2,8.117881497040955,1.7999999999999972,-7.099999999999994,3.5,50.2,-195.9,-145.5,253.1343516791034,52,-203,-142
86,0.0,toyota,clotplus,0.0,0,1,12:50.6,7.120393247567153,-0.20000000000000284,-7.099999999999994,0.5,50.2,-195.9,-145.5,254.42877195789,50,-203,-145
87,0.0,toyota,clotplus,0.0,0,1,12:51.0,10.124228365658288,4.799999999999997,-6.099999999999994,6.5,50.2,-195.9,-145.5,251.29663746258126,55,-202,-139
88,0.0,toyota,clotplus,0.0,0,1,12:51.4,14.57051817884319,3.799999999999997,-8.099999999999994,11.5,50.2,-195.9,-145.5,249.9759988478894,54,-204,-134
89,0.0,toyota,clotplus,0.0,0,1,12:51.8,12.070625501605122,-1.2000000000000028,-10.099999999999994,6.5,50.2,-195.9,-145.5,253.2942952377728,49,-206,-139
90,0.0,toyota,clotplus,0.0,0,1,12:52.3,10.183319694480769,2.799999999999997,-8.099999999999994,5.5,50.2,-195.9,-145.5,253.03161857759991,53,-204,-140
91,0.0,toyota,clotplus,0.0,0,1,12:52.7,19.685019685029523,5.799999999999997,-13.099999999999994,13.5,50.2,-195.9,-145.5,253.45808331951065,56,-209,-132
92,0.0,toyota,clotplus,0.0,0,1,12:53.1,28.261280933460885,-0.20000000000000284,-17.099999999999994,22.5,50.2,-195.9,-145.5,250.99402383323792,50,-213,-123
93,0.0,toyota,clotplus,0.0,0,1,12:53.5,32.39290045673588,-7.200000000000003,-21.099999999999994,23.5,50.2,-195.9,-145.5,252.6301644697244,43,-217,-122
94,0.0,toyota,clotplus,0.0,0,1,12:53.9,37.473990980412,-8.200000000000003,-24.099999999999994,27.5,50.2,-195.9,-145.5,253.15607833903573,42,-220,-118
95,0.0,toyota,clotplus,0.0,0,1,12:54.4,46.00108694367993,-17.200000000000003,-25.099999999999994,34.5,50.2,-195.9,-145.5,249.50150300148493,33,-221,-111
96,0.0,toyota,clotplus,222.75524685178573,2,1,12:54.8,56.45617769562512,-37.2,-26.099999999999994,33.5,50.2,-195.9,-145.5,248.9919677419334,13,-222,-112
97,0.0,toyota,clotplus,222.75524685178573,2,1,12:55.2,54.91174737704128,-45.2,-25.099999999999994,18.5,50.2,-195.9,-145.5,254.94116968430188,5,-221,-127
98,0.0,toyota,clotplus,222.75524685178573,2,1,12:55.6,53.63301222195151,-43.2,-25.099999999999994,19.5,50.2,-195.9,-145.5,254.4916501577213,7,-221,-126
99,0.0,toyota,clotplus,222.75524685178573,2,1,12:56.1,55.50045044862249,-46.2,-28.099999999999994,12.5,50.2,-195.9,-145.5,260.53982421119423,4,-224,-133
100,0.0,toyota,clotplus,222.75524685178573,2,1,12:56.5,61.42556471046888,-50.2,-34.099999999999994,-9.5,50.2,-195.9,-145.5,277.35356496717327,0,-230,-155
101,0.0,toyota,clotplus,222.75524685178573,2,1,12:57.4,61.64170666034483,-35.2,-47.099999999999994,-18.5,50.2,-195.9,-145.5,293.5472704693403,15,-243,-164
102,0.0,toyota,clotplus,222.75524685178573,2,1,12:57.8,77.24571185509264,-35.2,-68.1,-9.5,50.2,-195.9,-145.5,306.5061173940905,15,-264,-155
103,0.0,toyota,clotplus,222.75524685178573,2,1,12:58.2,82.2660318722132,-41.2,-70.1,-12.5,50.2,-195.9,-145.5,309.517366233302,9,-266,-158
104,0.0,toyota,clotplus,222.75524685178573,2,1,12:58.6,99.99049954870712,-59.2,-76.1,-26.5,50.2,-195.9,-145.5,321.9456475866695,-9,-272,-172
105,0.0,toyota,clotplus,222.75524685178573,2,1,12:59.0,167.30361621913616,-15.200000000000003,-116.1,-119.5,50.2,-195.9,-145.5,410.8454697328425,35,-312,-265
106,0.0,toyota,clotplus,111.37762342589286,1,1,12:59.5,179.80850925359456,-16.200000000000003,-172.1,49.5,50.2,-195.9,-145.5,381.83242397680164,34,-368,-96
107,0.0,toyota,clotplus,111.37762342589286,1,1,12:59.9,220.9889137490838,-39.2,-216.1,-24.5,50.2,-195.9,-145.5,445.8306853503917,11,-412,-170
108,0.0,toyota,clotplus,111.37762342589286,1,1,13:00.3,204.1134488464687,1.7999999999999972,-204.1,-1.5,50.2,-195.9,-145.5,429.31689927138905,52,-400,-147
109,0.0,toyota,clotplus,111.37762342589286,1,1,13:00.7,190.29319483365663,-4.200000000000003,-188.1,28.5,50.2,-195.9,-145.5,404.05568923107614,46,-384,-117
110,0.0,toyota,clotplus,111.37762342589286,1,1,13:01.2,182.5028766896566,-13.200000000000003,-179.1,32.5,50.2,-195.9,-145.5,393.3992882555839,37,-375,-113
111,0.0,toyota,clotplus,111.37762342589286,1,1,13:01.6,175.8809256286764,-11.200000000000003,-172.1,34.5,50.2,-195.9,-145.5,386.34958263210274,39,-368,-111
112,0.0,toyota,clotplus,111.37762342589286,1,1,13:02.0,180.83168970067166,-1.2000000000000028,-172.1,55.5,50.2,-195.9,-145.5,382.00130889828114,49,-368,-90
113,0.0,toyota,clotplus,111.37762342589286,1,1,13:02.4,185.45862072171246,-7.200000000000003,-174.1,63.5,50.2,-195.9,-145.5,381.4092290440807,43,-370,-82
114,0.0,toyota,clotplus,111.37762342589286,1,1,13:02.8,181.9859884716403,-7.200000000000003,-174.1,52.5,50.2,-195.9,-145.5,383.92447173890855,43,-370,-93
115,0.0,toyota,clotplus,111.37762342589286,1,1,13:03.3,172.74750359990733,-5.200000000000003,-167.1,43.5,50.2,-195.9,-145.5,379.7341175085536,45,-363,-102
116,0.0,toyota,clotplus,111.37762342589286,1,1,13:03.7,165.2249981086397,-5.200000000000003,-160.1,40.5,50.2,-195.9,-145.5,373.8796597837331,45,-356,-105
117,0.0,toyota,clotplus,111.37762342589286,1,1,13:04.1,174.7852968644674,-12.200000000000003,-169.1,42.5,50.2,-195.9,-145.5,381.15351238051056,38,-365,-103
118,0.0,toyota,clotplus,111.37762342589286,1,1,13:04.5,175.41351145222535,-10.200000000000003,-173.1,26.5,50.2,-195.9,-145.5,389.7717280665698,40,-369,-119
119,0.0,toyota,clotplus,111.37762342589286,1,1,13:04.9,189.86495200536618,-4.200000000000003,-189.1,16.5,50.2,-195.9,-145.5,408.6343108452838,46,-385,-129
120,0.0,toyota,clotplus,111.37762342589286,1,1,13:05.4,192.35150116388485,-4.200000000000003,-191.1,21.5,50.2,-195.9,-145.5,408.9755493914031,46,-387,-124
121,0.0,toyota,clotplus,111.37762342589286,1,1,13:05.8,199.04245778225305,-8.200000000000003,-197.1,26.5,50.2,-195.9,-145.5,412.7638550067096,42,-393,-119
122,0.0,toyota,clotplus,111.37762342589286,1,1,13:06.2,192.0200510363436,-3.200000000000003,-191.1,18.5,50.2,-195.9,-145.5,410.0085364964978,47,-387,-127
123,0.0,toyota,clotplus,111.37762342589286,1,1,13:06.6,186.3043209375456,-5.200000000000003,-185.1,20.5,50.2,-195.9,-145.5,403.49845105031073,45,-381,-125
124,0.0,toyota,clotplus,111.37762342589286,1,1,13:07.1,187.61529788372803,-10.200000000000003,-186.1,21.5,50.2,-195.9,-145.5,403.6087214122113,40,-382,-124
125,0.0,toyota,clotplus,111.37762342589286,1,1,13:07.5,188.15977253387612,-11.200000000000003,-187.1,16.5,50.2,-195.9,-145.5,406.01847248616656,39,-383,-129
126,0.0,toyota,clotplus,111.37762342589286,1,1,13:07.9,179.3251237278257,-6.200000000000003,-179.1,6.5,50.2,-195.9,-145.5,402.34562256845794,44,-375,-139
127,0.0,toyota,clotplus,111.37762342589286,1,1,13:08.3,180.5732538334512,-6.200000000000003,-180.1,11.5,50.2,-195.9,-145.5,401.5818721008208,44,-376,-134
128,0.0,toyota,clotplus,111.37762342589286,1,1,13:08.7,180.46523210856986,-11.200000000000003,-180.1,2.5,50.2,-195.9,-145.5,404.16085906480356,39,-376,-143
129,0.0,toyota,clotplus,111.37762342589286,1,1,13:09.2,180.32387529109948,-6.200000000000003,-180.1,6.5,50.2,-195.9,-145.5,403.27781987111564,44,-376,-139
